Regio;Gebiedsnaam;Winter;BeginJaar;Maand;Aantal
Schelde-Leie (6b);Kallemoeie NAZARETH;2018-19;2018;Oktober;1
Schelde-Leie (6b);Kallemoeie NAZARETH;2018-19;2018;November;0
Schelde-Leie (6b);Kallemoeie NAZARETH;2018-19;2018;December;0
Schelde-Leie (6b);Kallemoeie NAZARETH;2018-19;2018;Januari;0
Schelde-Leie (6b);Kallemoeie NAZARETH;2018-19;2018;Februari;0
Schelde-Leie (6b);Kallemoeie NAZARETH;2018-19;2018;Maart;0
Westkust/IJzervallei;Spaarbekken MERKEM;2016-17;2016;Oktober;0
Westkust/IJzervallei;Spaarbekken MERKEM;2016-17;2016;November;0
Westkust/IJzervallei;Spaarbekken MERKEM;2016-17;2016;December;0
Westkust/IJzervallei;Spaarbekken MERKEM;2016-17;2016;Januari;0
Westkust/IJzervallei;Spaarbekken MERKEM;2016-17;2016;Februari;0
Westkust/IJzervallei;Spaarbekken MERKEM;2016-17;2016;Maart;0
Westkust/IJzervallei;Spaarbekken MERKEM;2017-18;2017;Oktober;2
Westkust/IJzervallei;Spaarbekken MERKEM;2017-18;2017;November;0
Westkust/IJzervallei;Spaarbekken MERKEM;2017-18;2017;December;0
Westkust/IJzervallei;Spaarbekken MERKEM;2017-18;2017;Januari;0
Westkust/IJzervallei;Spaarbekken MERKEM;2017-18;2017;Februari;0
Westkust/IJzervallei;Spaarbekken MERKEM;2017-18;2017;Maart;0
Westkust/IJzervallei;Spaarbekken MERKEM;2018-19;2018;Oktober;0
Westkust/IJzervallei;Spaarbekken MERKEM;2018-19;2018;November;0
Westkust/IJzervallei;Spaarbekken MERKEM;2018-19;2018;December;0
Westkust/IJzervallei;Spaarbekken MERKEM;2018-19;2018;Januari;0
Westkust/IJzervallei;Spaarbekken MERKEM;2018-19;2018;Februari;0
Westkust/IJzervallei;Spaarbekken MERKEM;2018-19;2018;Maart;0
Westkust/IJzervallei;Blankaart WOUMEN;2016-17;2016;Oktober;0
Westkust/IJzervallei;Blankaart WOUMEN;2016-17;2016;November;0
Westkust/IJzervallei;Blankaart WOUMEN;2016-17;2016;December;2
Westkust/IJzervallei;Blankaart WOUMEN;2016-17;2016;Januari;3
Westkust/IJzervallei;Blankaart WOUMEN;2016-17;2016;Februari;0
Westkust/IJzervallei;Blankaart WOUMEN;2016-17;2016;Maart;2
Westkust/IJzervallei;Blankaart WOUMEN;2017-18;2017;Oktober;0
Westkust/IJzervallei;Blankaart WOUMEN;2017-18;2017;November;0
Westkust/IJzervallei;Blankaart WOUMEN;2017-18;2017;December;0
Westkust/IJzervallei;Blankaart WOUMEN;2017-18;2017;Januari;0
Westkust/IJzervallei;Blankaart WOUMEN;2017-18;2017;Februari;0
Westkust/IJzervallei;Blankaart WOUMEN;2017-18;2017;Maart;0
Westkust/IJzervallei;Blankaart WOUMEN;2018-19;2018;Oktober;0
Westkust/IJzervallei;Blankaart WOUMEN;2018-19;2018;November;0
Westkust/IJzervallei;Blankaart WOUMEN;2018-19;2018;December;0
Westkust/IJzervallei;Blankaart WOUMEN;2018-19;2018;Januari;0
Westkust/IJzervallei;Blankaart WOUMEN;2018-19;2018;Februari;1
Westkust/IJzervallei;Blankaart WOUMEN;2018-19;2018;Maart;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2016-17;2016;Oktober;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2016-17;2016;November;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2016-17;2016;December;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2016-17;2016;Januari;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2016-17;2016;Februari;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2016-17;2016;Maart;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2017-18;2017;Oktober;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2017-18;2017;November;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2017-18;2017;December;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2017-18;2017;Januari;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2017-18;2017;Februari;1
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2017-18;2017;Maart;1
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2018-19;2018;Oktober;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2018-19;2018;November;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2018-19;2018;December;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2018-19;2018;Januari;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2018-19;2018;Februari;0
Westkust/IJzervallei;Bezinkingsbekkens suikerfabriek VEURNE;2018-19;2018;Maart;0
