Datum;Aantal;Gebied
5/05/2020;1;IJzervallei - De Blankaart en omgeving (West-Vlaanderen)
8/05/2020;1;IJzervallei - IJzerbroeken Woumen (West-Vlaanderen)
9/05/2020;2;IJzervallei - De Blankaart en omgeving (West-Vlaanderen)
13/05/2020;1;IJzervallei - De Blankaart en omgeving (West-Vlaanderen)
16/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
16/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
16/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
16/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
18/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
19/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
19/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
19/05/2020;1;Harelbeke/Deerlijk - De Gavers (Provinciedomein) (West-Vlaanderen)
19/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
19/05/2020;1;Harelbeke - De Gavers - Reservaat (West-Vlaanderen)
20/05/2020;1;Dudzele - Kruisabeleweiden (KABW) (West-Vlaanderen)
25/06/2020;1;IJzervallei - De Blankaart en omgeving (West-Vlaanderen)
25/06/2020;1;IJzervallei - De Blankaart en omgeving (West-Vlaanderen)
14/07/2020;1;Harelbeke - De Gavers - Gaverplas (West-Vlaanderen)
20/07/2020;1;Zonhoven - Wijvenheide - Zuid (Limburg)
24/08/2020;2;Doel - Doelpolder Noord (Doelpolderweiden DOWE) (Oost-Vlaanderen)
4/10/2020;1;Aarseleweiden (ASW) (West-Vlaanderen)
