pathway_level1;pathway_level2;n;examples
contaminant;;17;Paspalum distichum , Proterorhinus semilunaris , Trochoidea elegans , Neogobius melanostomus , Ensis directus 
contaminant;animal_parasite;5;Mastophorus , Hoplopleura erismata , Enderleinellus kumadai , Anguillicoloides crassus Kuwahara Niimi  Itagaki 1974 Moravec  Taraschewski 1988, Gyrodactylus proterorhini 
contaminant;food;1;Chaetopelma olivaceum 
contaminant;habitat_material;18;Hygromia cinctella , Oenothera paradoxa , Amphiachyris dracunculoides DC Nutt, Bipalium kewense , Eumodicogryllus bordigalensis 
contaminant;nursery;9;Linaria triornithophora L Willd, Cardamine corymbosa , Axonopus fissifolius Raddi Kuhlm, Acalypha indica , Pilea hyalina 
contaminant;on_animals;7;Bolboschoenus yagara Ohwi YCYang  MZhan, Juncus canadensis , Monocorophium sextonae , Eleocharis engelmannii , Juncus foliosus 
contaminant;on_plants;15;Paysandisia archon , Diestrammena asynamora , Triaeris stenaspis , Cameraria gaultheriella , Pseudagrion microcephalum 
contaminant;seed;117;Amaranthus tuberculatus Moq ex DC JDSauer, Dinebra retroflexa , Trifolium sylvaticum , Scandix balansae , Vicia hyrcanica 
contaminant;timber;3;Melampyrum nemorosum , Camponotus vagus , Carex loliacea 
corridor;;17;Neogobius melanostomus , Procyon lotor , Eichhornia crassipes , Paspalum distichum , Akebia quinata 
corridor;water;16;Echinogammarus trichiatus , Chelicorophium curvispinum , Menetus dilatatus , Dikerogammarus villosus , Gammarus tigrinus 
escape;;17;Clarias gariepinus , Castor canadensis , Nyctereutes procyonoides , Callosciurus erythraeus , Neovison vison 
escape;agriculture;4;Valerianella locusta var oleracea Schltdl Breistr, Vigna radiata L RWilczek, Crambe hispanica subsp abyssinica Hochst ex REFr APrina, Glycine max L Merr
escape;aquaculture;14;Oreochromis niloticus , Acipenser ruthenus , Synurella ambulans , Caprella mutica , Procambarus clarkii 
escape;food_bait;13;Cucumis sativus , Pseudorasbora parva , Persea americana , Cucurbita moschata , Cyperus rotundus 
escape;fur_farm;1;Neovison vison 
escape;horticulture;347;Potentilla recta subsp obscura Willd Arcang, Petasites japonicus Siebold  Zucc Maxim, Acanthus spinosus , Philadelphus pubescens , vandula stoechas 
escape;ornamental;3;Acipenser ruthenus , Acipenser baerii , Acipenser gueldenstaedtii 
escape;pet;24;Callosciurus erythraeus , Triturus marmoratus , Procambarus clarkii , Tamiasciurus hudsonicus , Pachytriton labiatus 
escape;research;1;Massylaea vermiculata 
escape;zoo;2;Tamias sibiricus , Callosciurus erythraeus 
natural;dispersal;17;Dreissena bugensis , Campylopus introflexus , Ensis directus , Hypophthalmichthys molitrix , Ctenopharyngodon idella 
release;;17;Pimephales promelas , Rattus norvegicus , Cabomba caroliniana , Egeria densa , Ondatra zibethicus 
release;biological_control;6;Rhyzobius forestieri , Rhyzobius lophanthae , Hypophthalmichthys molitrix , Ctenopharyngodon idella , Harmonia axyridis 
release;conservation;1;Natrix helvetica 
release;hunting;1;Muntiacus reevesi 
release;landscape_improvement;3;Triturus marmoratus , Pleurodeles waltl , Natrix helvetica 
release;other;6;Trachemys scripta elegans , Graptemys pseudogeographica pseudogeographica, Trachemys scripta scripta, Graptemys pseudogeographica kohnii , Pachytriton labiatus 
stowaway;;20;Corbicula fluminalis , Solanum elaeagnifolium , Rangia cuneata , Rhaponticum repens L Hidalgo, Proterorhinus semilunaris 
stowaway;ballast_water;28;Bratislavia dadayi , Psammoryctides moravicus , Quistadrilus multisetosus , Ponticola kessleri , Ficopomatus enigmaticus 
stowaway;container;14;Latrodectus hesperus , Neoscona nautica , Latrodectus geometricus , Callobius nomeus , Massylaea vermiculata 
stowaway;hull_fouling;12;Crangonyx pseudogracilis , Ficopomatus enigmaticus , Amphibalanus amphitrite , Proasellus coxalis , Austrominius modestus 
stowaway;organic_packing;1;Anoplophora glabripennis 
stowaway;other;9;Anacridium aegyptium , Aedes albopictus , Ensis directus , Hemimysis anomala , Acheta domesticus 
stowaway;people_luggage;7;Trifolium suffocatum , Cernuella aginnica , Xerocincta neglecta , Parentucellia latifolia L Caruel, Paronychia argentea 
stowaway;ship;1;Massylaea vermiculata 
stowaway;vehicles;4;Cernuella aginnica , Xerocincta neglecta , Meconema meridionale , Eumodicogryllus bordigalensis 
unaided;;4;Boettgerilla pallens , Hygromia cinctella , Vespa velutina , Neovison vison 
unknown;;176;Gryllus bimaculatus , Neuroctenus lestoni , Massylaea vermiculata , Phoneutria boliviensis , Magallana gigas 
