"habitat_name","period_sections","freq","cumcount","habitat_name_nl"
"estuarine",1800,NA,NA,"estuarien"
"estuarine",1815,NA,NA,"estuarien"
"estuarine",1830,NA,NA,"estuarien"
"estuarine",1845,NA,NA,"estuarien"
"estuarine",1860,NA,NA,"estuarien"
"estuarine",1875,NA,NA,"estuarien"
"estuarine",1890,NA,NA,"estuarien"
"estuarine",1905,NA,NA,"estuarien"
"estuarine",1920," 3",3,"estuarien"
"estuarine",1935," 1",4,"estuarien"
"estuarine",1950," 1",4,"estuarien"
"estuarine",1965," 1",5,"estuarien"
"estuarine",1980," 4",9,"estuarien"
"estuarine",1995," 7",16,"estuarien"
"estuarine",2010," 7",16,"estuarien"
"freshwater",1800,NA,NA,"zoetwater"
"freshwater",1815,NA,NA,"zoetwater"
"freshwater",1830,NA,NA,"zoetwater"
"freshwater",1845," 1",1,"zoetwater"
"freshwater",1860," 1",2,"zoetwater"
"freshwater",1875," 5",7,"zoetwater"
"freshwater",1890," 5",7,"zoetwater"
"freshwater",1905," 2",9,"zoetwater"
"freshwater",1920," 4",13,"zoetwater"
"freshwater",1935," 2",15,"zoetwater"
"freshwater",1950," 5",20,"zoetwater"
"freshwater",1965,"10",30,"zoetwater"
"freshwater",1980,"19",49,"zoetwater"
"freshwater",1995," 8",57,"zoetwater"
"freshwater",2010," 8",57,"zoetwater"
"marine",1800,NA,NA,"marien"
"marine",1815,NA,NA,"marien"
"marine",1830," 1",1,"marien"
"marine",1845," 1",2,"marien"
"marine",1860," 1",2,"marien"
"marine",1875," 2",4,"marien"
"marine",1890," 3",7,"marien"
"marine",1905," 2",9,"marien"
"marine",1920," 3",12,"marien"
"marine",1935," 6",18,"marien"
"marine",1950," 6",24,"marien"
"marine",1965," 7",31,"marien"
"marine",1980," 8",39,"marien"
"marine",1995,"37",76,"marien"
"marine",2010," 3",79,"marien"
"terrestrial",1800," 2",2,"terrestrisch"
"terrestrial",1815," 2",4,"terrestrisch"
"terrestrial",1830," 1",5,"terrestrisch"
"terrestrial",1845," 3",8,"terrestrisch"
"terrestrial",1860," 6",14,"terrestrisch"
"terrestrial",1875," 7",21,"terrestrisch"
"terrestrial",1890," 5",26,"terrestrisch"
"terrestrial",1905," 2",28,"terrestrisch"
"terrestrial",1920," 3",31,"terrestrisch"
"terrestrial",1935," 6",37,"terrestrisch"
"terrestrial",1950," 6",43,"terrestrisch"
"terrestrial",1965," 4",47,"terrestrisch"
"terrestrial",1980," 4",51,"terrestrisch"
"terrestrial",1995," 6",57,"terrestrisch"
"terrestrial",2010," 6",57,"terrestrisch"
