Jaar;Maximum;Gebieden;Maximum_Wal;Gebieden_Wal;Maximum_Bel;Gebieden_Bel
2010;17;NA;NA;NA;NA;NA
2011;14;NA;0;NA;14;14
2012;14;NA;0;NA;14;15
2013;17;NA;0;NA;17;18
2014;12;NA;0;NA;12;12
2015;17;NA;0;NA;17;11
2016;17;NA;6;NA;32;26
2017;16;NA;0;NA;16;12
2018;16;10;2;1;18;11
2019;9;3;1;1;10;4
