"","Soort","year","grasland_index"
"1","bruin zandoogje","1991",100
"2","groot dikkopje","1991",100
"3","icarusblauwtje","1991",100
"4","kleine vuurvlinder","1991",100
"5","oranjetipje","1991",100
"6","argusvlinder","1991",100
"7","hooibeestje","1991",100
"8","Argusvlinder","1991",1
"9","Hooibeestje","1991",1
"10","Index","1991",100
"12","bruin zandoogje","1992",129.78
"13","groot dikkopje","1992",85.71
"14","icarusblauwtje","1992",298.54
"15","kleine vuurvlinder","1992",38.72
"16","oranjetipje","1992",96.7
"17","argusvlinder","1992",92.19
"18","hooibeestje","1992",93.55
"19","Argusvlinder","1992",0.9219
"20","Hooibeestje","1992",0.9355
"21","Index","1992",129.89
"23","bruin zandoogje","1993",117.76
"24","groot dikkopje","1993",66.68
"25","icarusblauwtje","1993",210.38
"26","kleine vuurvlinder","1993",32.89
"27","oranjetipje","1993",136.08
"28","argusvlinder","1993",85.64
"29","hooibeestje","1993",93.68
"30","Argusvlinder","1993",0.8564
"31","Hooibeestje","1993",0.9368
"32","Index","1993",112.758
"34","bruin zandoogje","1994",124.69
"35","groot dikkopje","1994",51.01
"36","icarusblauwtje","1994",526.06
"37","kleine vuurvlinder","1994",38.93
"38","oranjetipje","1994",219.1
"39","argusvlinder","1994",73.44
"40","hooibeestje","1994",90.39
"41","Argusvlinder","1994",0.7344
"42","Hooibeestje","1994",0.9039
"43","Index","1994",191.958
"45","bruin zandoogje","1995",114.99
"46","groot dikkopje","1995",83.31
"47","icarusblauwtje","1995",218.44
"48","kleine vuurvlinder","1995",118.53
"49","oranjetipje","1995",141.56
"50","argusvlinder","1995",66.07
"51","hooibeestje","1995",103.64
"52","Argusvlinder","1995",0.6607
"53","Hooibeestje","1995",1.0364
"54","Index","1995",135.366
"56","bruin zandoogje","1996",142.12
"57","groot dikkopje","1996",106.15
"58","icarusblauwtje","1996",174.57
"59","kleine vuurvlinder","1996",68.08
"60","oranjetipje","1996",114.07
"61","argusvlinder","1996",64.03
"62","hooibeestje","1996",107.37
"63","Argusvlinder","1996",0.6403
"64","Hooibeestje","1996",1.0737
"65","Index","1996",120.998
"67","bruin zandoogje","1997",103.47
"68","groot dikkopje","1997",43.73
"69","icarusblauwtje","1997",200.81
"70","kleine vuurvlinder","1997",97.6
"71","oranjetipje","1997",77.41
"72","argusvlinder","1997",57.28
"73","hooibeestje","1997",104.86
"74","Argusvlinder","1997",0.5728
"75","Hooibeestje","1997",1.0486
"76","Index","1997",104.604
"78","bruin zandoogje","1998",135
"79","groot dikkopje","1998",18.32
"80","icarusblauwtje","1998",54.58
