"","Soort","year","grasland_index"
"81","kleine vuurvlinder","1998",54.54
"82","oranjetipje","1998",135.95
"83","argusvlinder","1998",52.28
"84","hooibeestje","1998",96.01
"85","Argusvlinder","1998",0.5228
"86","Hooibeestje","1998",0.9601
"87","Index","1998",79.678
"89","bruin zandoogje","1999",103.05
"90","groot dikkopje","1999",3.8
"91","icarusblauwtje","1999",122.22
"92","kleine vuurvlinder","1999",52.53
"93","oranjetipje","1999",115.08
"94","argusvlinder","1999",47.73
"95","hooibeestje","1999",96.11
"96","Argusvlinder","1999",0.4773
"97","Hooibeestje","1999",0.9611
"98","Index","1999",79.336
"100","bruin zandoogje","2000",150.11
"101","groot dikkopje","2000",12.08
"102","icarusblauwtje","2000",58.49
"103","kleine vuurvlinder","2000",55.87
"104","oranjetipje","2000",159.46
"105","argusvlinder","2000",43
"106","hooibeestje","2000",89.16
"107","Argusvlinder","2000",0.43
"108","Hooibeestje","2000",0.8916
"109","Index","2000",87.202
"111","bruin zandoogje","2001",148.78
"112","groot dikkopje","2001",15.61
"113","icarusblauwtje","2001",40.36
"114","kleine vuurvlinder","2001",17.8
"115","oranjetipje","2001",145.26
"116","argusvlinder","2001",40.52
"117","hooibeestje","2001",106.45
"118","Argusvlinder","2001",0.4052
"119","Hooibeestje","2001",1.0645
"120","Index","2001",73.562
"122","bruin zandoogje","2002",110.17
"123","groot dikkopje","2002",35.72
"124","icarusblauwtje","2002",148.34
"125","kleine vuurvlinder","2002",81.8
"126","oranjetipje","2002",196.84
"127","argusvlinder","2002",36.48
"128","hooibeestje","2002",99.33
"129","Argusvlinder","2002",0.3648
"130","Hooibeestje","2002",0.9933
"131","Index","2002",114.574
"133","bruin zandoogje","2003",185.58
"134","groot dikkopje","2003",23.69
"135","icarusblauwtje","2003",262.02
"136","kleine vuurvlinder","2003",144.21
"137","oranjetipje","2003",135.41
"138","argusvlinder","2003",34.88
"139","hooibeestje","2003",94.14
"140","Argusvlinder","2003",0.3488
"141","Hooibeestje","2003",0.9414
"142","Index","2003",150.182
"144","bruin zandoogje","2004",206.16
"145","groot dikkopje","2004",23.93
"146","icarusblauwtje","2004",196.4
"147","kleine vuurvlinder","2004",64.13
"148","oranjetipje","2004",337.45
"149","argusvlinder","2004",31.95
"150","hooibeestje","2004",95.3
"151","Argusvlinder","2004",0.3195
"152","Hooibeestje","2004",0.953
"153","Index","2004",165.614
"155","bruin zandoogje","2005",186.38
"156","groot dikkopje","2005",44.85
"157","icarusblauwtje","2005",95.6
"158","kleine vuurvlinder","2005",21.95
"159","oranjetipje","2005",242.06
"160","argusvlinder","2005",28.23
"161","hooibeestje","2005",96.81
"162","Argusvlinder","2005",0.2823
"163","Hooibeestje","2005",0.9681
"164","Index","2005",118.168
"166","bruin zandoogje","2006",163.84
"167","groot dikkopje","2006",37.55
"168","icarusblauwtje","2006",202.32
"169","kleine vuurvlinder","2006",90.71
"170","oranjetipje","2006",95.89
"171","argusvlinder","2006",26.47
"172","hooibeestje","2006",96.51
"173","Argusvlinder","2006",0.2647
"174","Hooibeestje","2006",0.9651
"175","Index","2006",118.062
"177","bruin zandoogje","2007",62.64
"178","groot dikkopje","2007",40.32
"179","icarusblauwtje","2007",70.1
"180","kleine vuurvlinder","2007",99.77
"181","oranjetipje","2007",180.46
"182","argusvlinder","2007",23.51
"183","hooibeestje","2007",96.39
"184","Argusvlinder","2007",0.2351
"185","Hooibeestje","2007",0.9639
"186","Index","2007",90.658
"188","bruin zandoogje","2008",102.93
"189","groot dikkopje","2008",29.53
"190","icarusblauwtje","2008",63.57
"191","kleine vuurvlinder","2008",50.18
"192","oranjetipje","2008",264.02
"193","argusvlinder","2008",21.51
"194","hooibeestje","2008",96.59
"195","Argusvlinder","2008",0.2151
"196","Hooibeestje","2008",0.9659
"197","Index","2008",102.046
"199","bruin zandoogje","2009",104.78
"200","groot dikkopje","2009",28.32
"201","icarusblauwtje","2009",265.59
"202","kleine vuurvlinder","2009",77.33
"203","oranjetipje","2009",195.9
"204","argusvlinder","2009",19.68
"205","hooibeestje","2009",96.58
"206","Argusvlinder","2009",0.1968
"207","Hooibeestje","2009",0.9658
"208","Index","2009",134.384
"210","bruin zandoogje","2010",61.15
"211","groot dikkopje","2010",41.85
"212","icarusblauwtje","2010",521.08
"213","kleine vuurvlinder","2010",122.94
"214","oranjetipje","2010",271.87
"215","argusvlinder","2010",18.95
"216","hooibeestje","2010",96.84
"217","Argusvlinder","2010",0.1895
"218","Hooibeestje","2010",0.9684
"219","Index","2010",203.778
"221","bruin zandoogje","2011",38.28
"222","groot dikkopje","2011",43.63
"223","icarusblauwtje","2011",173.27
"224","kleine vuurvlinder","2011",42.25
"225","oranjetipje","2011",172.12
"226","argusvlinder","2011",16.45
"227","hooibeestje","2011",91.93
"228","Argusvlinder","2011",0.1645
"229","Hooibeestje","2011",0.9193
"230","Index","2011",93.91
"232","bruin zandoogje","2012",39.62
"233","groot dikkopje","2012",12.42
"234","icarusblauwtje","2012",40.03
"235","kleine vuurvlinder","2012",60.44
"236","oranjetipje","2012",155.58
"237","argusvlinder","2012",15.05
"238","hooibeestje","2012",91.14
"239","Argusvlinder","2012",0.1505
"240","Hooibeestje","2012",0.9114
"241","Index","2012",61.618
"243","bruin zandoogje","2013",114
"244","groot dikkopje","2013",41.47
"245","icarusblauwtje","2013",186.02
"246","kleine vuurvlinder","2013",43.39
"247","oranjetipje","2013",211.22
"248","argusvlinder","2013",9.47
"249","hooibeestje","2013",102.61
"250","Argusvlinder","2013",0.0947
"251","Hooibeestje","2013",1.0261
"252","Index","2013",119.22
"254","bruin zandoogje","2014",80.14
"255","groot dikkopje","2014",51.67
"256","icarusblauwtje","2014",251.12
"257","kleine vuurvlinder","2014",21.17
"258","oranjetipje","2014",148.13
"259","argusvlinder","2014",16.36
"260","hooibeestje","2014",99.39
"261","Argusvlinder","2014",0.1636
"262","Hooibeestje","2014",0.9939
"263","Index","2014",110.446
"265","bruin zandoogje","2015",62.06
"266","groot dikkopje","2015",18.36
"267","icarusblauwtje","2015",296.96
"268","kleine vuurvlinder","2015",75.09
"269","oranjetipje","2015",87.28
"270","argusvlinder","2015",11.07
"271","hooibeestje","2015",96.46
"272","Argusvlinder","2015",0.1107
"273","Hooibeestje","2015",0.9646
"274","Index","2015",107.95
"275","doel MINA-plan 4","2015",182.1754
