introductieweg;n;first(voorbeelden)
autonome uitbreiding;21;Neogobius melanostomus ,Magallana gigas ,Ctenopharyngodon idella ,Akebia quinata ,Rhaponticum repens L Hidalgo
besmetting;192;Anguillicoloides crassus Kuwahara Niimi  Itagaki 1974 Moravec  Taraschewski 1988,Agrostis exarata ,Lasius neglectus ,Torilis africana ,Corbicula fluminalis 
corridor;33;Jaera istri ,Dendrocoelum romanodanubiale ,Neogobius melanostomus ,Eichhornia crassipes ,Ensis directus 
onbekend;176;Milax gagates ,Euborellia annulipes ,Cryptachaea veruculata ,Agropogon lutosus Poir PFourn,Amphibalanus reticulatus 
ontsnapping;426;Zantedeschia aethiopica ,vandula stoechas ,Anisocampium niponicum Mett Yea CLiu WLChiou  MKato,Crocosmia crocosmiiflora Nicholson NEBr,Abies nordmanniana 
uitzetting;34;Ondatra zibethicus ,Ctenopharyngodon idella ,Pseudorasbora parva ,Triturus marmoratus ,Clarias gariepinus 
verstekeling;96;Megabalanus coccopoma ,Meconema meridionale ,Massylaea vermiculata ,Melita nitida ,Corbicula fluminea 
