introductieweg;kingdom;n
autonome uitbreiding;Dieren;15
autonome uitbreiding;Planten;6
besmetting;Dieren;40
besmetting;Planten;145
corridor;Dieren;24
corridor;Planten;6
onbekend;Dieren;124
onbekend;Planten;52
ontsnapping;Dieren;47
ontsnapping;Planten;360
uitzetting;Dieren;26
uitzetting;Planten;5
verstekeling;Dieren;74
verstekeling;Planten;10
